work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,MI,FT,Decision Scientist,158620,US,0,US,M
2025,MI,FT,Decision Scientist,79310,US,0,US,M
2025,SE,FT,Manager,188267,US,0,US,M
2025,SE,FT,Manager,141200,US,0,US,M
2025,SE,FT,Machine Learning Engineer,196100,CA,100,CA,M
2025,SE,FT,Machine Learning Engineer,144900,CA,100,CA,M
2025,EN,FT,Machine Learning Engineer,173040,US,0,US,M
2025,EN,FT,Machine Learning Engineer,86520,US,0,US,M
2025,SE,FT,Machine Learning Engineer,194740,US,0,US,M
2025,SE,FT,Machine Learning Engineer,104860,US,0,US,M
2025,SE,FT,Architect,219400,US,0,US,M
2025,SE,FT,Architect,131600,US,0,US,M
2025,MI,FT,Data Scientist,112500,US,0,US,M
2025,MI,FT,Data Scientist,67500,US,0,US,M
2025,EX,FT,Data Engineer,223900,US,0,US,M
2025,EX,FT,Data Engineer,135700,US,0,US,M
2025,MI,FT,Data Engineer,250600,CA,0,CA,M
2025,MI,FT,Data Engineer,167000,CA,0,CA,M
2025,MI,FT,Data Engineer,165360,US,0,US,M
2025,MI,FT,Data Engineer,110240,US,0,US,M
2025,SE,FT,Software Engineer,200000,US,0,US,M
2025,SE,FT,Software Engineer,158000,US,0,US,M
2025,SE,FT,Data Visualization Engineer,142700,US,100,US,M
2025,SE,FT,Data Visualization Engineer,114200,US,100,US,M
2025,MI,FT,Applied Scientist,223400,US,0,US,L
2025,MI,FT,Applied Scientist,136000,US,0,US,L
2025,SE,FT,Applied Scientist,260000,US,0,US,L
2025,SE,FT,Applied Scientist,150400,US,0,US,L
2025,SE,FT,Software Engineer,264000,US,0,US,M
2025,SE,FT,Software Engineer,176000,US,0,US,M
2025,SE,FT,Data Infrastructure Engineer,240000,US,0,US,M
2025,SE,FT,Data Infrastructure Engineer,160000,US,0,US,M
2025,SE,FT,Machine Learning Engineer,241000,US,0,US,M
2025,SE,FT,Machine Learning Engineer,161000,US,0,US,M
2025,SE,FT,Data Governance Analyst,160000,US,100,US,M
2025,SE,FT,Data Governance Analyst,130000,US,100,US,M
2025,EX,FT,Data Governance,213390,US,0,US,M
2025,EX,FT,Data Governance,143245,US,0,US,M
2025,MI,FT,Engineer,220000,US,0,US,M
2025,MI,FT,Engineer,140000,US,0,US,M
2025,SE,FT,Data Quality Analyst,140049,US,0,US,M
2025,SE,FT,Data Quality Analyst,84878,US,0,US,M
2025,EN,FT,Software Engineer,174600,US,0,US,M
2025,EN,FT,Software Engineer,81900,US,0,US,M
2025,EN,FT,Data Analyst,74755,US,0,US,M
2025,EN,FT,Data Analyst,48235,US,0,US,M
2025,MI,FT,Business Intelligence Developer,117811,US,100,US,M
2025,MI,FT,Business Intelligence Developer,76003,US,100,US,M
2025,SE,FT,Data Engineer,47368,FR,0,FR,M
2025,SE,FT,Data Engineer,42105,FR,0,FR,M
2025,MI,FT,Data Engineer,183100,US,100,US,M
2025,MI,FT,Data Engineer,98900,US,100,US,M
2025,MI,FT,Data Governance,40421,LT,0,LT,M
2025,MI,FT,Data Governance,36631,LT,0,LT,M
2025,SE,FT,Software Engineer,239000,US,0,US,M
2025,SE,FT,Software Engineer,161000,US,0,US,M
2025,SE,FT,Manager,183580,US,100,US,M
2025,SE,FT,Manager,111260,US,100,US,M
2025,SE,FT,Manager,211180,US,100,US,M
2025,SE,FT,Manager,127890,US,100,US,M
2025,EN,FT,Data Scientist,93230,US,100,US,M
2025,EN,FT,Data Scientist,71214,US,100,US,M
2025,SE,FT,Data Analyst,101500,CA,0,CA,M
2025,SE,FT,Data Analyst,54500,CA,0,CA,M
2025,MI,FT,Data Scientist,128600,US,0,US,M
2025,MI,FT,Data Scientist,62800,US,0,US,M
2025,MI,FT,Data Manager,128800,US,100,US,M
2025,MI,FT,Data Manager,75200,US,100,US,M
2025,MI,FT,Manager,419750,US,100,US,M
2025,MI,FT,Manager,220000,US,100,US,M
2025,SE,FT,Data Scientist,227700,US,0,US,M
2025,SE,FT,Data Scientist,151800,US,0,US,M
2025,SE,FT,Data Scientist,138911,US,0,US,M
2025,SE,FT,Data Scientist,160440,US,0,US,M
2025,SE,FT,Data Scientist,87120,US,0,US,M
2025,SE,FT,Data Scientist,142243,US,0,US,M
2025,SE,FT,Technical Lead,184920,US,0,US,M
2025,SE,FT,Technical Lead,123280,US,0,US,M
2025,MI,FT,Software Engineer,113000,US,0,US,M
2025,MI,FT,Software Engineer,74000,US,0,US,M
2025,SE,FT,Data Architect,220000,US,0,US,M
2025,SE,FT,Data Architect,96600,US,0,US,M
2025,SE,FT,Data Architect,202093,US,0,US,M
2025,SE,FT,Data Engineer,105063,GB,0,GB,M
2025,SE,FT,Data Engineer,86075,GB,0,GB,M
2025,EN,FT,Data Analyst,137000,US,0,US,M
2025,EN,FT,Data Analyst,60400,US,0,US,M
2025,SE,FT,Data Analyst,155000,US,0,US,M
2025,SE,FT,Data Analyst,80000,US,0,US,M
2025,SE,FT,Data Analyst,202000,US,0,US,M
2025,SE,FT,Data Analyst,138911,US,0,US,M
2025,MI,FT,Engineer,107104,AU,0,AU,M
2025,MI,FT,Engineer,80449,AU,0,AU,M
2025,SE,FT,Software Engineer,310500,US,100,US,M
2025,SE,FT,Software Engineer,164000,US,100,US,M
2025,MI,FT,Manager,202000,US,0,US,M
2025,MI,FT,Manager,112655,US,0,US,M
2025,SE,FT,Analyst,102000,US,0,US,M
2025,SE,FT,Analyst,46988,US,0,US,M
2025,MI,FT,Data Scientist,213200,US,0,US,M
2025,MI,FT,Data Scientist,129200,US,0,US,M
2025,MI,FT,Data Analyst,95000,US,0,US,M
2025,MI,FT,Data Analyst,63400,US,0,US,M
2025,MI,FT,Engineer,114000,CA,0,CA,M
2025,MI,FT,Engineer,104000,CA,0,CA,M
2025,MI,FT,Data Engineer,176000,US,0,US,M
2025,MI,FT,Data Engineer,72700,US,0,US,M
2025,EN,FT,Data Quality Analyst,100000,US,0,US,M
2025,EN,FT,Data Quality Analyst,90000,US,0,US,M
2025,SE,FT,Data Architect,48353,AT,0,AT,M
2025,SE,FT,Technical Lead,215000,US,0,US,M
2025,SE,FT,Technical Lead,180000,US,0,US,M
2025,SE,FT,Analyst,135000,US,0,US,M
2025,SE,FT,Analyst,89000,US,0,US,M
2025,SE,FT,Lead Analyst,135400,US,0,US,M
2025,SE,FT,Lead Analyst,77400,US,0,US,M
2025,MI,FT,AI Engineer,275000,US,0,US,M
2025,MI,FT,AI Engineer,150000,US,0,US,M
2025,SE,FT,AI Engineer,170000,US,100,US,M
2025,SE,FT,AI Engineer,150000,US,100,US,M
2025,SE,FT,Data Engineer,151500,US,0,US,M
2025,SE,FT,Data Engineer,90400,US,0,US,M
2025,SE,FT,Software Engineer,226000,US,0,US,M
2025,SE,FT,Software Engineer,155000,US,0,US,M
2025,EN,FT,Data Specialist,54000,US,0,US,M
2025,SE,FT,Software Engineer,150000,US,0,US,M
2025,SE,FT,Software Engineer,130000,US,0,US,M
2025,SE,FT,Product Manager,281000,US,100,US,M
2025,SE,FT,Product Manager,204000,US,100,US,M
2025,SE,FT,Machine Learning Engineer,225000,US,0,US,M
2025,SE,FT,Machine Learning Engineer,150000,US,0,US,M
2025,EN,FT,Data Analyst,125000,CA,100,CA,M
2025,EN,FT,Data Analyst,83000,CA,100,CA,M
2025,EN,FT,Data Analyst,180000,US,0,US,M
2025,EN,FT,Data Analyst,150000,US,0,US,M
2025,SE,FT,Data Scientist,134500,US,0,US,M
2025,SE,FT,Data Scientist,103600,US,0,US,M
2025,SE,FT,Software Engineer,242500,US,0,US,M
2025,MI,FT,Product Manager,111740,US,0,US,M
2025,MI,FT,Product Manager,75500,US,0,US,M
2025,SE,FT,Software Engineer,250000,US,0,US,M
2025,SE,FT,Software Engineer,170000,US,0,US,M
2025,SE,FT,Analyst,191500,AU,0,AU,M
2025,SE,FT,Analyst,159800,AU,0,AU,M
2025,SE,FT,Research Scientist,245000,US,0,US,M
2025,SE,FT,Research Scientist,136000,US,0,US,M
2025,SE,FT,Research Engineer,245000,US,0,US,M
2025,SE,FT,Research Engineer,136000,US,0,US,M
2025,SE,FT,Manager,150000,US,100,US,M
2025,SE,FT,Manager,130000,US,100,US,M
2025,MI,FT,Software Developer,178100,US,0,US,M
2025,MI,FT,Software Developer,79000,US,0,US,M
2025,SE,FT,Business Intelligence Analyst,150000,US,100,US,M
2025,SE,FT,Business Intelligence Analyst,105000,US,100,US,M
2025,SE,FT,Solutions Architect,247296,US,0,US,M
2025,SE,FT,Solutions Architect,139776,US,0,US,M
2025,MI,FT,Analyst,108200,US,100,US,M
2025,MI,FT,Analyst,81400,US,100,US,M
2025,MI,FT,Analyst,91900,US,100,US,M
2025,MI,FT,Analyst,76900,US,100,US,M
2025,MI,FT,Analyst,130000,US,0,US,M
2025,MI,FT,Analyst,104000,US,0,US,M
2025,SE,FT,Engineer,189873,GB,100,GB,M
2025,SE,FT,Engineer,113924,GB,100,GB,M
2025,SE,FT,Software Engineer,165000,US,100,US,M
2025,SE,FT,Software Engineer,135000,US,100,US,M
2025,MI,FT,Manager,150000,US,0,US,M
